ticker, expRet, stdDev, skew, kurt
AAP,81.3502,826.574,-0.0710217,0.875616
AXP,61.5203,331.582,-1.11867,0.481169
BA,88.0555,676.151,-0.978903,0.745889
CAT,89.4368,208.314,0.829902,-0.668916
CSCO,21.1969,11.0097,0.274305,-0.262482
CVX,105.369,280.09,0.455229,-0.76508
DD,52.2293,99.0342,-0.101737,0.0834358
DIS,53.156,365.499,-0.848442,0.659123
GE,20.9631,14.8721,-0.643958,-0.0324205
GS,145.277,743.243,-0.279474,-0.56619
HD,56.1223,475.068,-1.30189,0.263293
IBM,174.994,670.776,0.823682,-0.921092
INTC,24.2171,18.0891,1.99561,1.14972
JNJ,75.8012,250.977,-0.646379,0.630908
JPM,45.7715,76.341,-0.589393,0.119202
KO,52.6165,183.178,-1.28409,0.278076
MCD,88.1344,128.277,2.01427,-1.04841
MMM,103.115,566.972,-0.268555,0.828661
MRK,42.9815,75.4699,-0.448582,0.514015
MSFT,31.5532,42.6407,0.506075,0.956954
NKE,81.3126,204.012,0.11465,-0.0389113
PFE,23.7367,29.5157,-1.19704,-0.0348194
PG,70.551,80.1374,1.79561,0.124694
TRV,69.6689,270.35,-0.976265,0.342735
UNH,56.6058,323.416,-0.521369,0.393845
UTX,88.1721,262.989,-0.523661,0.36954
V,137.92,3290.22,-1.21825,0.397181
VZ,41.2293,55.5953,-0.54903,-0.382504
WMT,65.389,120.609,-0.680328,-0.159396
XOM,83.7326,141.085,1.2047,-0.778302
